"Section";"Section_description";"Class";"Class_description"
"Q";"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES";"87.30";"Residential care activities for the elderly and disabled"
"Q";"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES";"87.90";"Other residential care activities"
"Q";"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES";"88.10";"Social work activities without accommodation for the elderly and disabled"
"Q";"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES";"88.91";"Child day-care activities"
"Q";"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES";"88.99";"Other social work activities without accommodation n.e.c."
"R";"ARTS, ENTERTAINMENT AND RECREATION";"90.01";"Performing arts"
"R";"ARTS, ENTERTAINMENT AND RECREATION";"90.02";"Support activities to performing arts"
"R";"ARTS, ENTERTAINMENT AND RECREATION";"90.03";"Artistic creation"
"R";"ARTS, ENTERTAINMENT AND RECREATION";"91.02";"Museums activities"
"R";"ARTS, ENTERTAINMENT AND RECREATION";"91.03";"Operation of historical sites and buildings and similar visitor attractions"
"R";"ARTS, ENTERTAINMENT AND RECREATION";"93.11";"Operation of sports facilities"
"R";"ARTS, ENTERTAINMENT AND RECREATION";"93.12";"Activities of sports clubs"
"R";"ARTS, ENTERTAINMENT AND RECREATION";"93.19";"Other sports activities"
"R";"ARTS, ENTERTAINMENT AND RECREATION";"93.29";"Other amusement and recreation activities"
"S";"OTHER SERVICE ACTIVITIES";"94.20";"Activities of trade unions"
"S";"OTHER SERVICE ACTIVITIES";"94.91";"Activities of religious organisations"
"S";"OTHER SERVICE ACTIVITIES";"94.99";"Activities of other membership organisations n.e.c."
"S";"OTHER SERVICE ACTIVITIES";"95.11";"Repair of computers and peripheral equipment"
"S";"OTHER SERVICE ACTIVITIES";"95.21";"Repair of consumer electronics"
"S";"OTHER SERVICE ACTIVITIES";"95.22";"Repair of household appliances and home and garden equipment"
"S";"OTHER SERVICE ACTIVITIES";"95.23";"Repair of footwear and leather goods"
"S";"OTHER SERVICE ACTIVITIES";"95.24";"Repair of furniture and home furnishings"
"S";"OTHER SERVICE ACTIVITIES";"95.29";"Repair of other personal and household goods"
"S";"OTHER SERVICE ACTIVITIES";"96.01";"Washing and (dry-)cleaning of textile and fur products"
"S";"OTHER SERVICE ACTIVITIES";"96.02";"Hairdressing and other beauty treatment"
"S";"OTHER SERVICE ACTIVITIES";"96.03";"Funeral and related activities"
"S";"OTHER SERVICE ACTIVITIES";"96.04";"Physical well-being activities"
"S";"OTHER SERVICE ACTIVITIES";"96.09";"Other personal service activities n.e.c."
"U";"ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES";"99.00";"Activities of extraterritorial organisations and bodies"
"A";"AGRICULTURE, FORESTRY AND FISHING";"01.28";"Growing of spices, aromatic, drug and pharmaceutical crops"
"A";"AGRICULTURE, FORESTRY AND FISHING";"01.30";"Plant propagation"
"A";"AGRICULTURE, FORESTRY AND FISHING";"01.63";"Post-harvest crop activities"
"A";"AGRICULTURE, FORESTRY AND FISHING";"02.20";"Logging"
"A";"AGRICULTURE, FORESTRY AND FISHING";"02.40";"Support services to forestry"
"A";"AGRICULTURE, FORESTRY AND FISHING";"03.21";"Marine aquaculture"
"C";"MANUFACTURING";"10.61";"Manufacture of grain mill products"
"C";"MANUFACTURING";"17.21";"Manufacture of corrugated paper and paperboard and of containers of paper and paperboard"
"C";"MANUFACTURING";"20.11";"Manufacture of industrial gases"
"C";"MANUFACTURING";"20.14";"Manufacture of other organic basic chemicals"
"C";"MANUFACTURING";"20.42";"Manufacture of perfumes and toilet preparations"
"C";"MANUFACTURING";"21.10";"Manufacture of basic pharmaceutical products"
"C";"MANUFACTURING";"22.1";"Manufacture of rubber products"
"C";"MANUFACTURING";"23.6";"Manufacture of articles of concrete, cement and plaster"
"C";"MANUFACTURING";"24.20";"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
"C";"MANUFACTURING";"24.3";"Manufacture of other products of first processing of steel"
"C";"MANUFACTURING";"24.5";"Casting of metals"
"C";"MANUFACTURING";"24.42";"Aluminium production"
"C";"MANUFACTURING";"24.53";"Casting of light metals"
"C";"MANUFACTURING";"29.10";"Manufacture of motor vehicles"
"C";"MANUFACTURING";"29.3";"Manufacture of parts and accessories for motor vehicles"
"F";"CONSTRUCTION";"42.11";"Construction of roads and motorways"
"F";"CONSTRUCTION";"42.21";"Construction of utility projects for fluids"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.22";"Wholesale of flowers and plants"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.45";"Wholesale of perfume and cosmetics"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.48";"Wholesale of watches and jewellery"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.62";"Wholesale of machine tools"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.63";"Wholesale of mining, construction and civil engineering machinery"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.71";"Wholesale of solid, liquid and gaseous fuels and related products"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.72";"Wholesale of metals and metal ores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.19";"Other retail sale in non-specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.43";"Retail sale of audio and video equipment in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.65";"Retail sale of games and toys in specialised stores"
"H";"TRANSPORTATION AND STORAGE";"49.31";"Urban and suburban passenger land transport"
"H";"TRANSPORTATION AND STORAGE";"49.50";"Transport via pipeline"
"H";"TRANSPORTATION AND STORAGE";"50.40";"Inland freight water transport"
"H";"TRANSPORTATION AND STORAGE";"51.21";"Freight air transport"
"H";"TRANSPORTATION AND STORAGE";"52.22";"Service activities incidental to water transportation"
"H";"TRANSPORTATION AND STORAGE";"52.23";"Service activities incidental to air transportation"
"H";"TRANSPORTATION AND STORAGE";"53.20";"Other postal and courier activities"
"J";"INFORMATION AND COMMUNICATION";"59.14";"Motion picture projection activities"
"J";"INFORMATION AND COMMUNICATION";"63.99";"Other information service activities n.e.c."
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"64.91";"Financial leasing"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"77.31";"Rental and leasing of agricultural machinery and equipment"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"80.10";"Private security activities"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"80.20";"Security systems service activities"
"O";"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY";"84.22";"Defence activities"
"O";"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY";"84.23";"Justice and judicial activities"
"O";"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY";"84.24";"Public order and safety activities"
"P";"EDUCATION";"85.41";"Post-secondary non-tertiary education"
"R";"ARTS, ENTERTAINMENT AND RECREATION";"90.04";"Operation of arts facilities"
"R";"ARTS, ENTERTAINMENT AND RECREATION";"91.04";"Botanical and zoological gardens and nature reserves activities"
"R";"ARTS, ENTERTAINMENT AND RECREATION";"92.00";"Gambling and betting activities"
"R";"ARTS, ENTERTAINMENT AND RECREATION";"93.13";"Fitness facilities"
"R";"ARTS, ENTERTAINMENT AND RECREATION";"93.21";"Activities of amusement parks and theme parks"
"S";"OTHER SERVICE ACTIVITIES";"94.11";"Activities of business and employers membership organisations"
"S";"OTHER SERVICE ACTIVITIES";"94.12";"Activities of professional membership organisations"
"T";"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE";"97.00";"Activities of households as employers of domestic personnel"
"A";"AGRICULTURE, FORESTRY AND FISHING";"01.12";"Growing of rice"
"A";"AGRICULTURE, FORESTRY AND FISHING";"01.15";"Growing of tobacco"
"A";"AGRICULTURE, FORESTRY AND FISHING";"01.64";"Seed processing for propagation"
"A";"AGRICULTURE, FORESTRY AND FISHING";"01.70";"Hunting, trapping and related service activities"
"A";"AGRICULTURE, FORESTRY AND FISHING";"02.30";"Gathering of wild growing non-wood products"
"A";"AGRICULTURE, FORESTRY AND FISHING";"03.22";"Freshwater aquaculture"
"C";"MANUFACTURING";"10.20";"Processing and preserving of fish, crustaceans and molluscs"
"C";"MANUFACTURING";"10.62";"Manufacture of starches and starch products"
"C";"MANUFACTURING";"10.81";"Manufacture of sugar"
"C";"MANUFACTURING";"11.05";"Manufacture of beer"
"C";"MANUFACTURING";"11.07";"Manufacture of soft drinks; production of mineral waters and other bottled waters"
"C";"MANUFACTURING";"13.10";"Preparation and spinning of textile fibres"
"C";"MANUFACTURING";"17.11";"Manufacture of pulp"
"C";"MANUFACTURING";"17.22";"Manufacture of household and sanitary goods and of toilet requisites"
"C";"MANUFACTURING";"20.12";"Manufacture of dyes and pigments"
"C";"MANUFACTURING";"20.15";"Manufacture of fertilisers and nitrogen compounds"
"C";"MANUFACTURING";"20.16";"Manufacture of plastics in primary forms"
"C";"MANUFACTURING";"20.17";"Manufacture of synthetic rubber in primary forms"
"C";"MANUFACTURING";"20.20";"Manufacture of pesticides and other agrochemical products"
"C";"MANUFACTURING";"20.41";"Manufacture of soap and detergents, cleaning and polishing preparations"
"C";"MANUFACTURING";"20.51";"Manufacture of explosives"
"C";"MANUFACTURING";"20.52";"Manufacture of glues"
"C";"MANUFACTURING";"20.53";"Manufacture of essential oils"
"C";"MANUFACTURING";"20.60";"Manufacture of man-made fibres"
"C";"MANUFACTURING";"21.20";"Manufacture of pharmaceutical preparations"
"C";"MANUFACTURING";"23.13";"Manufacture of hollow glass"
"C";"MANUFACTURING";"23.9";"Manufacture of abrasive products and non-metallic mineral products n.e.c."
"C";"MANUFACTURING";"23.5";"Manufacture of cement, lime and plaster"
"C";"MANUFACTURING";"24.10";"Manufacture of basic iron and steel and of ferro-alloys"
"C";"MANUFACTURING";"24.51";"Casting of iron"
"C";"MANUFACTURING";"24.52";"Casting of steel"
"C";"MANUFACTURING";"25.2";"Manufacture of tanks, reservoirs and containers of metal"
"C";"MANUFACTURING";"30.2/30.1";"Manufacture of railway locomotives and rolling stock/Building of ships and boats"
"C";"MANUFACTURING";"25.92";"Manufacture of light metal packaging"
"C";"MANUFACTURING";"27.20";"Manufacture of batteries and accumulators"
"C";"MANUFACTURING";"27.3";"Manufacture of wiring and wiring devices"
"C";"MANUFACTURING";"30.30";"Manufacture of air and spacecraft and related machinery"
"F";"CONSTRUCTION";"42.13";"Construction of bridges and tunnels"
"F";"CONSTRUCTION";"42.91";"Construction of water projects"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.13";"Agents involved in the sale of timber and building materials"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.14";"Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.17";"Agents involved in the sale of food, beverages and tobacco"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.24";"Wholesale of hides, skins and leather"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.33";"Wholesale of dairy products, eggs and edible oils and fats"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.35";"Wholesale of tobacco products"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.36";"Wholesale of sugar and chocolate and sugar confectionery"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.37";"Wholesale of coffee, tea, cocoa and spices"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.44";"Wholesale of china and glassware and cleaning materials"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.47";"Wholesale of furniture, carpets and lighting equipment"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.63";"Retail sale of music and video recordings in specialised stores"
"H";"TRANSPORTATION AND STORAGE";"50.10";"Sea and coastal passenger water transport"
"H";"TRANSPORTATION AND STORAGE";"50.20";"Sea and coastal freight water transport"
"H";"TRANSPORTATION AND STORAGE";"50.30";"Inland passenger water transport"
"H";"TRANSPORTATION AND STORAGE";"51.10";"Passenger air transport"
"J";"INFORMATION AND COMMUNICATION";"58.12";"Publishing of directories and mailing lists"
"J";"INFORMATION AND COMMUNICATION";"58.19";"Other publishing activities"
"J";"INFORMATION AND COMMUNICATION";"58.21";"Publishing of computer games"
"J";"INFORMATION AND COMMUNICATION";"59.13";"Motion picture, video and television programme distribution activities"
"J";"INFORMATION AND COMMUNICATION";"59.20";"Sound recording and music publishing activities"
"J";"INFORMATION AND COMMUNICATION";"60.20";"Television programming and broadcasting activities"
"J";"INFORMATION AND COMMUNICATION";"61.30";"Satellite telecommunications activities"
"J";"INFORMATION AND COMMUNICATION";"62.03";"Computer facilities management activities"
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"64.11";"Central banking"
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"64.99";"Other financial service activities, except insurance and pension funding n.e.c."
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"65.20";"Reinsurance"
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"65.30";"Pension funding"
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"66.11";"Administration of financial markets"
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"66.12";"Security and commodity contracts brokerage"
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"66.29";"Other activities auxiliary to insurance and pension funding"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"72.11";"Research and experimental development on biotechnology"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"72.20";"Research and experimental development on social sciences and humanities"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"77.12";"Rental and leasing of trucks"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"77.40";"Leasing of intellectual property and similar products, except copyrighted works"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"82.91";"Activities of collection agencies and credit bureaus"
"O";"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY";"84.21";"Foreign affairs"
"P";"EDUCATION";"85.60";"Educational support activities"
"R";"ARTS, ENTERTAINMENT AND RECREATION";"91.01";"Library and archives activities"
"S";"OTHER SERVICE ACTIVITIES";"94.92";"Activities of political organisations"
"S";"OTHER SERVICE ACTIVITIES";"95.12";"Repair of communication equipment"
"T";"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE";"98.20";"Undifferentiated service-producing activities of private households for own use"
